CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Telangana Circle,Hyderabad Region,Nizamabad Division,Chikli B.O,503246,BO,Delivery,NIZAMABAD,TELANGANA,18.8243042,78.0683075
Telangana Circle,Hyderabad Region,Nizamabad Division,Gandhinagar B.O,503246,BO,Delivery,NIZAMABAD,TELANGANA,18.8054964,78.0428765
Telangana Circle,Hyderabad Region,Nizamabad Division,Kolas  B.O,503305,BO,Delivery,KAMAREDDY,TELANGANA,18.33335,77.6983916
Telangana Circle,Hyderabad Region,Nizamabad Division,Shantapur B.O,503305,BO,Delivery,KAMAREDDY,TELANGANA,18.3295916,77.7315616
Telangana Circle,Hyderabad Region,Peddapalli Division,Gollapalli B.O,505186,BO,Delivery,PEDDAPALLI,TELANGANA,18.4676183,79.2467683
Telangana Circle,Hyderabad Region,Peddapalli Division,Ithrajpalle B.O,505186,BO,Delivery,PEDDAPALLI,TELANGANA,18.5116556,79.2236202
Telangana Circle,Hyderabad Region,Peddapalli Division,Bonthakuntapalli B.O,505186,BO,Delivery,PEDDAPALLI,TELANGANA,18.4948966,79.2676577
Telangana Circle,Hyderabad Region,Peddapalli Division,Gangaram B.O,505153,BO,Delivery,PEDDAPALLI,TELANGANA,18.463131,79.5066198
Telangana Circle,Hyderabad Region,Peddapalli Division,Keshanpalli B.O,505153,BO,Delivery,PEDDAPALLI,TELANGANA,18.4321487,79.494105
Telangana Circle,Hyderabad Region,Peddapalli Division,Moolasala B.O,505162,BO,Delivery,PEDDAPALLI,TELANGANA,18.5451295,79.4288607
Telangana Circle,Hyderabad Region,Peddapalli Division,Regadi Maddikunta B.O,505162,BO,Delivery,PEDDAPALLI,TELANGANA,18.5095705,79.3828487
Telangana Circle,Hyderabad Region,Peddapalli Division,Madaka B.O,505152,BO,Delivery,PEDDAPALLI,TELANGANA,18.4244906,79.4309151
Telangana Circle,Hyderabad Region,Peddapalli Division,Gumpula B.O,505152,BO,Delivery,PEDDAPALLI,TELANGANA,18.4098826,79.5211359
Telangana Circle,Hyderabad Region,Peddapalli Division,Odela B.O,505152,BO,Delivery,PEDDAPALLI,TELANGANA,18.4540369,79.4475796
Telangana Circle,Hyderabad Region,Peddapalli Division,Kukkalagudur B.O,505514,BO,Delivery,PEDDAPALLI,TELANGANA,18.7727901,79.3054696
Telangana Circle,Hyderabad Region,Peddapalli Division,Mudrial B.O,505514,BO,Delivery,PEDDAPALLI,TELANGANA,18.783348,79.3229419
Telangana Circle,Hyderabad Region,Peddapalli Division,Murmur B.O,505514,BO,Delivery,PEDDAPALLI,TELANGANA,18.8216837,79.4019076
Telangana Circle,Hyderabad Region,Peddapalli Division,Dongathurthi B.O,505187,BO,Delivery,PEDDAPALLI,TELANGANA,18.6941516,79.2989033
Telangana Circle,Hyderabad Region,Peddapalli Division,Kannal B.O,505187,BO,Delivery,PEDDAPALLI,TELANGANA,18.693075,79.427375
Telangana Circle,Hyderabad Region,Peddapalli Division,Palakurthy B.O,505187,BO,Delivery,PEDDAPALLI,TELANGANA,18.7187683,79.3812483
Telangana Circle,Hyderabad Region,Peddapalli Division,Lakkaram B.O,505212,BO,Delivery,PEDDAPALLI,TELANGANA,18.5670611,79.5783635
Telangana Circle,Hyderabad Region,Peddapalli Division,Maidambanda B.O,505212,BO,Delivery,PEDDAPALLI,TELANGANA,18.6308454,79.5736787
Telangana Circle,Hyderabad Region,Peddapalli Division,Kothur B.O,505525,BO,Delivery,PEDDAPALLI,TELANGANA,18.5838484,79.2742354
Telangana Circle,Hyderabad Region,Peddapalli Division,Sivapalli B.O,505525,BO,Delivery,PEDDAPALLI,TELANGANA,18.5231895,79.2752419
Telangana Circle,Hyderabad Region,Peddapalli Division,Venkatraopalli B.O,505525,BO,Delivery,PEDDAPALLI,TELANGANA,18.5298987,79.2367387
Telangana Circle,Hyderabad Region,Peddapalli Division,Sundilla B.O,505209,BO,Delivery,PEDDAPALLI,TELANGANA,18.7689283,79.5234681
Telangana Circle,Hyderabad Region,Peddapalli Division,Jangaon B.O,505209,BO,Delivery,PEDDAPALLI,TELANGANA,18.7832158,79.4812184
Telangana Circle,Hyderabad Region,Peddapalli Division,Maredpak B.O,505209,BO,Delivery,PEDDAPALLI,TELANGANA,18.6852945,79.5193409
Telangana Circle,Hyderabad Region,Peddapalli Division,Julapalli B.O,505188,BO,Delivery,PEDDAPALLI,TELANGANA,18.6673368,79.514244
Telangana Circle,Hyderabad Region,Peddapalli Division,Rangapuram B.O,505188,BO,Delivery,PEDDAPALLI,TELANGANA,18.6681544,79.4216846
Telangana Circle,Hyderabad Region,Peddapalli Division,Mukdampur B.O,505186,BO,Delivery,KARIMNAGAR,TELANGANA,18.4729098,79.2167847
Telangana Circle,Hyderabad Region,Peddapalli Division,Mallial B.O,505122,BO,Delivery,KARIMNAGAR,TELANGANA,18.2584516,79.5357133
Telangana Circle,Hyderabad Region,Peddapalli Division,Kanikulagidda B.O,505498,BO,Delivery,KARIMNAGAR,TELANGANA,18.1982602,79.4410683
Telangana Circle,Hyderabad Region,Peddapalli Division,Yellabotharam B.O,505498,BO,Delivery,KARIMNAGAR,TELANGANA,18.2069835,79.368333
Telangana Circle,Hyderabad Region,Peddapalli Division,Sirsapalli B.O,505498,BO,Delivery,KARIMNAGAR,TELANGANA,18.2421096,79.4142865
Telangana Circle,Hyderabad City Region,Hyderabad South East Division,Munaganur S.O,501505,PO,Non Delivery,RANGA REDDY,TELANGANA,17.301362,78.60885
Telangana Circle,Hyderabad Region,Nizamabad Division,Jillapalli B.O,503207,BO,Delivery,NIZAMABAD,TELANGANA,18.5509461,77.7873264
Telangana Circle,Hyderabad Region,Nizamabad Division,Pothangal B.O,503207,BO,Delivery,NIZAMABAD,TELANGANA,18.5672599,77.7721273
Telangana Circle,Hyderabad City Region,Sangareddy Division,IIT HYDERABAD SO,502284,PO,Delivery,SANGAREDDY,TELANGANA,17.59,78.12
Telangana Circle,Hyderabad Region,Nizamabad Division,Ankole B.O,503301,BO,Delivery,KAMAREDDY,TELANGANA,18.4539589,77.877045
Telangana Circle,Hyderabad Region,Nizamabad Division,Bomandevpalli B.O,503301,BO,Delivery,KAMAREDDY,TELANGANA,18.4703804,77.8825672
Telangana Circle,Hyderabad Region,Nizamabad Division,Nachapalli B.O,503301,BO,Delivery,KAMAREDDY,TELANGANA,18.4494355,77.8788242
Telangana Circle,Hyderabad Region,Nizamabad Division,Govur B.O,503206,BO,Delivery,NIZAMABAD,TELANGANA,18.5981949,77.94845
Telangana Circle,Hyderabad Region,Nizamabad Division,Humnapur B.O,503206,BO,Delivery,NIZAMABAD,TELANGANA,18.5663666,77.9188366
Telangana Circle,Hyderabad Region,Nizamabad Division,Malkapoor B.O,503206,BO,Delivery,NIZAMABAD,TELANGANA,18.5998553,77.9993976
Telangana Circle,Hyderabad Region,Nizamabad Division,Lakshmikisan Farm B.O,503245,BO,Delivery,NIZAMABAD,TELANGANA,18.7942533,77.9778283
Telangana Circle,Hyderabad Region,Nizamabad Division,Mokanpalli B.O,503245,BO,Delivery,NIZAMABAD,TELANGANA,18.76392,78.0553816
Telangana Circle,Hyderabad Region,Nizamabad Division,Pocharam B.O,503186,BO,Delivery,NIZAMABAD,TELANGANA,18.71002,77.9981733
Telangana Circle,Hyderabad Region,Nizamabad Division,Old Varni B.O,503201,BO,Delivery,NIZAMABAD,TELANGANA,18.5407388,77.9194592
Telangana Circle,Hyderabad Region,Nizamabad Division,Jakhora B.O,503201,BO,Delivery,NIZAMABAD,TELANGANA,18.5407388,77.9194592
Telangana Circle,Hyderabad Region,Nizamabad Division,Wajidnagar B.O,503187,BO,Delivery,KAMAREDDY,TELANGANA,18.3860155,77.7949242
Telangana Circle,Hyderabad Region,Nizamabad Division,Budmi B.O,503187,BO,Delivery,KAMAREDDY,TELANGANA,18.3393718,77.8846467
Telangana Circle,Hyderabad Region,Nizamabad Division,Galipur B.O,503187,BO,Delivery,KAMAREDDY,TELANGANA,18.2967347,77.9024795
